Date,AAPL,BA,BAC,CAT,CRM,FB,ICLN,MSFT,NVDA,SKYY,TAN,TSLA
7/12/2016,0.004527048,-0.009359116,0.024673867,0.025382106,0.003300897,0.000508885,0.00662232,0.011720296,0.014882734,0.015124888,0.000919241,-0.000578532
7/13/2016,-0.005661788,-0.005365599,-0.00741282,-0.00137961,-0.007350253,-0.009799418,-0.013289021,0.005622031,-0.000378644,-0.003839974,-0.01527463,-0.009481707
7/14/2016,0.019626706,0.011006789,0.015504289,0.004632287,0.002823941,0.004357696,0.008879133,0.004289204,0.01017899,0.006073272,0.004653288,-0.004503921
7/15/2016,-0.000101268,0.006365015,0.000732199,0.007962268,-0.001963624,-0.003672866,-0.005540459,-0.000744548,-0.01169603,-0.001913861,-0.007455805,-0.005113896
7/18/2016,0.01057349,0.007824981,0.032411946,-0.001377191,0.002821516,0.021251294,0.002220031,0.004829988,0.005110173,0.005413142,0.016698016,0.026196464
7/19/2016,0.000400671,0.009175997,0.010574929,-0.001002609,-0.003190119,0.010334269,-0.004444885,-0.01625443,0.010329749,-0.001907107,-0.015763067,-0.004385333
7/20/2016,0.000901026,0.000445696,0.009769467,-0.000627439,0.009418413,0.010802872,0.013275014,0.051754503,0.012994508,0.014843,0.020810074,0.013668101
7/21/2016,-0.005316443,-0.00887255,-0.009068652,0.004007359,-0.005371137,-0.010802872,-0.004405376,-0.001969244,-0.018615433,-0.006920368,-0.004587117,-0.03502569
7/22/2016,-0.007774185,-0.000449544,0.007678906,-0.007905013,0.010350243,0.003228341,0.007696547,0.013704981,0.026880585,0.008799586,-0.005994941,0.007995167
7/25/2016,-0.013469959,-0.003978786,-0.000695598,-0.008730137,-0.004370537,0.005193081,-0.002193139,0.002824159,0.018305908,0.002500002,0.008749754,0.034229936
7/26/2016,-0.006906819,0.014265212,0.011072853,0.050307599,-0.005245517,-0.00337654,0.013086358,0.000528716,0.016917925,0.003738232,0.014565556,-0.002176152
7/27/2016,0.062940338,0.008197686,0.006858632,0.016182566,-0.003185132,0.017337653,-0.002169126,-0.010092979,-0.010116246,-0.004362662,-0.007711684,-0.004454124
7/28/2016,0.01341134,-0.021936632,0.003411898,-0.014130101,0.010132563,0.013368997,-0.012015263,0.000355993,0.002138163,0.011180092,-0.025831643,0.009235521
7/29/2016,-0.001246786,0.004875174,-0.013027253,-0.001931357,-0.006458303,-0.00851614,0,0.008326504,0.016243212,0.002467855,0.000934268,0.017963494
8/1/2016,0.017502714,-0.003372472,-0.011103663,-0.009835848,-0.009581285,0.002980829,0.003291171,-0.001765722,-0.006500886,0.003690011,0.010680433,-0.020568739
8/2/2016,-0.014914864,-0.012159719,-0.014054977,-0.008701366,-0.006438812,-0.009862661,-0.003291171,0,-0.012237525,-0.010490641,-0.003238499,-0.012292106
8/3/2016,0.012460172,0.002049607,0.024468036,0.009677266,-0.001118592,-0.004723089,0.005479282,0.00686919,0.002673184,0.007108691,0.015176095,-0.006225272
8/4/2016,0.006158558,-0.005017593,0,-0.003174399,0.001863626,0.014987913,0.008705107,0.007345307,0.018339441,0.009196624,-0.006869661,0.021122623
8/5/2016,0.015092945,0.00395517,0.038609641,0.009614632,0.009512757,0.00633244,-0.003255456,0.009883049,0.016807114,0.011227795,0.009604385,-0.002518261
8/8/2016,0.008246443,0.003486135,0.005301677,0.0106025,-0.001969276,0.000878564,0.009735195,0.001723788,0.009235613,-0.000905712,0.00996388,-0.016967068
8/9/2016,0.004051804,0.003247472,0.003957687,-0.007337214,0.000123217,-0.001597992,0,0.002408365,0.002550401,0.004219225,-0.001352824,0.01282865
8/10/2016,-0.007471828,0.005685906,-0.025334664,-0.002175742,-0.011646798,-0.001440348,-0.019566097,-0.003097495,-0.006473693,-0.003615405,-0.04146154,-0.015086179
